run,base_seed,chunk_index,num_chunks,ckpt,victim_model,goal,max_steps,temp,top_p,top_k,gate_alpha,reward_mode,context_window,torch_version,transformers_version,gen_len,OGF,stall,tail_len,TP@512,TP@1024,latency_sec,success_ogf1,success_ogf2,success_ogf4,reward,validity,eos_pen,ppl
938,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,39,0.009521484375,0,0,0,0,17.034571647644043,0,0,0,-0.7847716626463341,1.0,5.0,41.02564102564103
939,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,93,0.022705078125,0,0,0,0,2.0661282539367676,0,0,0,-0.7747348710034238,1.0,5.0,35.483870967741936
940,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,289,0.070556640625,0,0,0,0,6.438209056854248,0,0,0,-0.7465280069633204,1.0,5.0,24.740484429065745
941,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,446,0.10888671875,0,0,0,0,9.982283115386963,0,0,0,-0.7259884381821362,1.0,5.0,19.28251121076233
942,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,465,0.113525390625,0,0,0,0,10.40140962600708,0,0,0,-0.7243239809817916,1.0,5.0,19.032258064516128
943,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,278,0.06787109375,0,0,0,0,6.187427520751953,0,0,0,-0.7309566562372923,1.0,5.0,17.625899280575542
944,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,146,0.03564453125,0,0,0,0,3.2366154193878174,0,0,0,-0.7655229674587298,1.0,5.0,31.164383561643834
945,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,155,0.037841796875,0,0,0,0,3.4298899173736572,0,0,0,-0.7571068419075364,1.0,5.0,26.451612903225808
946,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,394,0.09619140625,0,0,0,0,8.800904750823975,0,0,0,-0.7371961330391235,1.0,5.0,22.96954314720812
947,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,149,0.036376953125,0,0,0,0,3.2966575622558594,0,0,0,-0.7593398172553426,1.0,5.0,27.516778523489933
948,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,380,0.0927734375,0,0,0,0,8.481845140457153,0,0,0,-0.7364129286063787,1.0,5.0,22.236842105263158
949,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,195,0.047607421875,0,0,0,0,4.323641061782837,0,0,0,-0.7593054458452461,1.0,5.0,28.974358974358974
950,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,578,0.14111328125,0,0,0,0,12.979079961776733,0,0,0,-0.6994929699083988,1.0,5.0,12.802768166089965
951,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,414,0.10107421875,0,0,0,0,9.25105595588684,0,0,0,-0.7138856215628682,1.0,5.0,14.371980676328501
952,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,367,0.089599609375,0,0,0,0,8.198835849761963,0,0,0,-0.7412827445672311,1.0,5.0,24.25068119891008
953,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,398,0.09716796875,0,0,0,0,8.887445449829102,0,0,0,-0.7133551221460305,1.0,5.0,13.944723618090453
954,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,55,0.013427734375,0,0,0,0,1.2148301601409912,0,0,0,-0.7715278940423504,1.0,5.0,31.81818181818182
955,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,367,0.089599609375,0,0,0,0,8.185102701187134,0,0,0,-0.7225161794887478,1.0,5.0,16.348773841961854
956,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,324,0.0791015625,0,0,0,0,7.269847393035889,0,0,0,-0.7311640973967476,1.0,5.0,18.67283950617284
957,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,200,0.048828125,0,0,0,0,4.437748670578003,0,0,0,-0.7388002855526995,1.0,5.0,19.0
958,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,60,0.0146484375,0,0,0,0,1.3255047798156738,0,0,0,-0.7758800484853055,1.0,5.0,35.0
959,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,399,0.097412109375,0,0,0,0,8.908116340637207,0,0,0,-0.736581294990641,1.0,5.0,22.807017543859647
960,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,201,0.049072265625,0,0,0,0,4.461965560913086,0,0,0,-0.7443962384960678,1.0,5.0,21.393034825870647
961,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,400,0.09765625,0,0,0,0,8.922843933105469,0,0,0,-0.7402057656229286,1.0,5.0,24.625
962,42,14,15,RANDOM_POLICY,meta-llama/Llama-2-7b-chat-hf,16384,0,0.8,0.95,0,0.0,victim,4096,2.9.1+cu128,4.57.3,392,0.095703125,0,0,0,0,8.745490550994873,0,0,0,-0.7301432613386232,1.0,5.0,19.77040816326531
